@relation TrainingInstances_teste01_31

@attribute COSINE_culture numeric
@attribute JACCARD_culture numeric
@attribute JARO_culture numeric
@attribute LEVENSHTEIN_culture numeric
@attribute QGRAM_culture numeric
@attribute COSINE_sex numeric
@attribute JACCARD_sex numeric
@attribute JARO_sex numeric
@attribute LEVENSHTEIN_sex numeric
@attribute QGRAM_sex numeric
@attribute COSINE_age numeric
@attribute JACCARD_age numeric
@attribute JARO_age numeric
@attribute LEVENSHTEIN_age numeric
@attribute QGRAM_age numeric
@attribute COSINE_date_of_birth numeric
@attribute JACCARD_date_of_birth numeric
@attribute JARO_date_of_birth numeric
@attribute LEVENSHTEIN_date_of_birth numeric
@attribute QGRAM_date_of_birth numeric
@attribute COSINE_title numeric
@attribute JACCARD_title numeric
@attribute JARO_title numeric
@attribute LEVENSHTEIN_title numeric
@attribute QGRAM_title numeric
@attribute COSINE_given_name numeric
@attribute JACCARD_given_name numeric
@attribute JARO_given_name numeric
@attribute LEVENSHTEIN_given_name numeric
@attribute QGRAM_given_name numeric
@attribute COSINE_surname numeric
@attribute JACCARD_surname numeric
@attribute JARO_surname numeric
@attribute LEVENSHTEIN_surname numeric
@attribute QGRAM_surname numeric
@attribute COSINE_state numeric
@attribute JACCARD_state numeric
@attribute JARO_state numeric
@attribute LEVENSHTEIN_state numeric
@attribute QGRAM_state numeric
@attribute COSINE_suburb numeric
@attribute JACCARD_suburb numeric
@attribute JARO_suburb numeric
@attribute LEVENSHTEIN_suburb numeric
@attribute QGRAM_suburb numeric
@attribute COSINE_postcode numeric
@attribute JACCARD_postcode numeric
@attribute JARO_postcode numeric
@attribute LEVENSHTEIN_postcode numeric
@attribute QGRAM_postcode numeric
@attribute COSINE_street_number numeric
@attribute JACCARD_street_number numeric
@attribute JARO_street_number numeric
@attribute LEVENSHTEIN_street_number numeric
@attribute QGRAM_street_number numeric
@attribute COSINE_address_1 numeric
@attribute JACCARD_address_1 numeric
@attribute JARO_address_1 numeric
@attribute LEVENSHTEIN_address_1 numeric
@attribute QGRAM_address_1 numeric
@attribute COSINE_address_2 numeric
@attribute JACCARD_address_2 numeric
@attribute JARO_address_2 numeric
@attribute LEVENSHTEIN_address_2 numeric
@attribute QGRAM_address_2 numeric
@attribute COSINE_phone_number numeric
@attribute JACCARD_phone_number numeric
@attribute JARO_phone_number numeric
@attribute LEVENSHTEIN_phone_number numeric
@attribute QGRAM_phone_number numeric
@attribute resultado {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541667,0.125,0,1,1,1,1,1,0,0,0.577778,0.333333,0.266667,0,0,0.642857,0.285714,0.117647,1,1,1,1,1,0,0,0.44152,0.210526,0,0,0,0.5,0.25,0,0,0,0,0,0,0.5,0.333333,0.613095,0.4375,0.411765,1,1,1,1,1,0,0,0.584848,0.181818,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.822222,0.625,0.3,1,1,1,1,1,0,0,0.611111,0.333333,0,0,0,0.527778,0.25,0,0,0,0.666667,0.5,0.25,0,0,0.666667,0.25,0,0,0,0.7,0.25,0.166667,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.644661,0.166667,0,0
0,0,0.6,0.333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.746667,0.375,0.2,0,0,0,0,0,0,0,0.458333,0.125,0,0,0,0,0,0,1,1,1,1,1,0,0,0.428571,0,0,0,0,0.666667,0.25,0,0,0,0.7,0.5,0.25,0,0,0.537179,0.2,0,0,0,0.545985,0.117647,0,0,0,0.707359,0.363636,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.333333,0.96,0.9,0.75,1
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.5,0.125,0,0,0,0,0,0,0,0,0.458333,0.125,0,0,0,0,0,0,1,1,1,1,1,0,0,0.328571,0.1,0,0,0,0.5,0.25,0.166667,0,0,0,0,0,0.408248,0.25,0.689755,0.454545,0.35,1,1,1,1,1,0,0,0.665873,0.25,0,0
0,0,0.555556,0.333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.583333,0,0,0,0,0,0,0,0,0,0.472222,0.166667,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.54625,0.1875,0.066667,0,0,0.733333,0.5,0.333333,0,0,0.65,0.333333,0.222222,0.5,0.333333,0.777066,0.615385,0.482759,0,0,0,0,0,0,0,0.516667,0.2,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0.7,0.5,0.25,0,0,0.778333,0.375,0.3,1,1,1,1,1,0,0,0.597222,0.25,0,0,0,0.7,0.375,0.222222,1,1,1,1,1,0,0,0.425926,0.111111,0,0,0,0.5,0,0,0,0,0.8,0.333333,0.25,0.5,0.333333,0.757835,0.538462,0.466667,0,0,0,0,0,0,0,0.651515,0.363636,0.08,0
0,0,0.555556,0.333333,0.2,1,1,1,1,1,1,1,1,1,1,0,0,0.9,0.75,0.6,0,0,0,0,0,0,0,0.433333,0.2,0,0,0,0.527778,0.25,0,0,0,0,0,0,0,0,0.430303,0.090909,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.333333,0.695299,0.6,0.5,1,1,1,1,1,0,0,0.533333,0.3,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.666667,0.375,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.971429,0.857143,0.705882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
