@relation TrainingInstances_dados_31

@attribute COSINE_rec2_id numeric
@attribute JACCARD_rec2_id numeric
@attribute JARO_rec2_id numeric
@attribute LEVENSHTEIN_rec2_id numeric
@attribute QGRAM_rec2_id numeric
@attribute COSINE_culture numeric
@attribute JACCARD_culture numeric
@attribute JARO_culture numeric
@attribute LEVENSHTEIN_culture numeric
@attribute QGRAM_culture numeric
@attribute COSINE_sex numeric
@attribute JACCARD_sex numeric
@attribute JARO_sex numeric
@attribute LEVENSHTEIN_sex numeric
@attribute QGRAM_sex numeric
@attribute COSINE_age numeric
@attribute JACCARD_age numeric
@attribute JARO_age numeric
@attribute LEVENSHTEIN_age numeric
@attribute QGRAM_age numeric
@attribute COSINE_date_of_birth numeric
@attribute JACCARD_date_of_birth numeric
@attribute JARO_date_of_birth numeric
@attribute LEVENSHTEIN_date_of_birth numeric
@attribute QGRAM_date_of_birth numeric
@attribute COSINE_title numeric
@attribute JACCARD_title numeric
@attribute JARO_title numeric
@attribute LEVENSHTEIN_title numeric
@attribute QGRAM_title numeric
@attribute COSINE_given_name numeric
@attribute JACCARD_given_name numeric
@attribute JARO_given_name numeric
@attribute LEVENSHTEIN_given_name numeric
@attribute QGRAM_given_name numeric
@attribute COSINE_surname numeric
@attribute JACCARD_surname numeric
@attribute JARO_surname numeric
@attribute LEVENSHTEIN_surname numeric
@attribute QGRAM_surname numeric
@attribute COSINE_state numeric
@attribute JACCARD_state numeric
@attribute JARO_state numeric
@attribute LEVENSHTEIN_state numeric
@attribute QGRAM_state numeric
@attribute COSINE_suburb numeric
@attribute JACCARD_suburb numeric
@attribute JARO_suburb numeric
@attribute LEVENSHTEIN_suburb numeric
@attribute QGRAM_suburb numeric
@attribute COSINE_postcode numeric
@attribute JACCARD_postcode numeric
@attribute JARO_postcode numeric
@attribute LEVENSHTEIN_postcode numeric
@attribute QGRAM_postcode numeric
@attribute COSINE_street_number numeric
@attribute JACCARD_street_number numeric
@attribute JARO_street_number numeric
@attribute LEVENSHTEIN_street_number numeric
@attribute QGRAM_street_number numeric
@attribute COSINE_address_1 numeric
@attribute JACCARD_address_1 numeric
@attribute JARO_address_1 numeric
@attribute LEVENSHTEIN_address_1 numeric
@attribute QGRAM_address_1 numeric
@attribute COSINE_address_2 numeric
@attribute JACCARD_address_2 numeric
@attribute JARO_address_2 numeric
@attribute LEVENSHTEIN_address_2 numeric
@attribute QGRAM_address_2 numeric
@attribute resultado {nao-duplicata,duplicata}

@data
0,0,0.92028,0.692308,0.533333,0,0,0.6,0.333333,0.2,1,1,1,1,1,0,0,0.666667,0.5,0.25,0,0,0.72,0.5,0.2,1,1,1,1,1,0,0,0.5,0.222222,0,0,0,0.466667,0.2,0,0,0,0,0,0,0,0,0.555556,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502976,0.0625,0,0,0,0,0,0,nao-duplicata
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.885714,0.714286,0.555556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.833333,0.5,0.333333,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,duplicata
0,0,0.888462,0.692308,0.62069,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0.142857,0,0,0,0.5,0.166667,0.125,1,1,1,1,1,0,0,0.541667,0.25,0,0,0,0.833333,0.5,0.166667,0,0,0.611111,0.333333,0,0.408248,0.25,0.604711,0.470588,0.432432,0,0,0,0,0,nao-duplicata
0,0,0.938462,0.769231,0.6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.666667,0.375,0.2,0,0,0.7,0.5,0.25,0,0,0.395238,0.142857,0,0,0,0.458333,0.25,0,0,0,0,0,0,0,0,0.430303,0.090909,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333,0.761172,0.642857,0.451613,0,0,0.413462,0,0,nao-duplicata
0,0,0.887692,0.615385,0.533333,0,0,0.6,0.333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.822222,0.75,0.6,1,1,1,1,1,0,0,0.605714,0.285714,0.125,0,0,0.525,0.166667,0.142857,0,0,0,0,0,0,0,0.569872,0.230769,0,0,0,0.55,0.25,0.166667,0,0,0,0,0,0,0,0.560847,0.238095,0,0,0,0,0,0,nao-duplicata
0,0,0.900513,0.692308,0.551724,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.416667,0,0,0,0,0,0,0,0,0,0.458333,0.125,0,0,0,0.703704,0.444444,0,0,0,0,0,0,0,0,0.535714,0.214286,0,0,0,0.55,0.25,0.166667,0,0,0,0,0,0,0,0.632906,0.2,0,0,0,0.67037,0.388889,0.125,nao-duplicata
0,0,0.913333,0.666667,0.571429,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.583333,0.125,0,0,0,0,0,0,0,0,0.483333,0.2,0,0,0,0.561905,0.142857,0,0,0,0,0,0,0,0,0.547619,0.142857,0,1,1,1,1,1,0,0,0,0,0,0,0,0.516221,0.294118,0,0,0,0,0,0,nao-duplicata
0,0,0.85641,0.615385,0.551724,0,0,0.6,0.333333,0.2,1,1,1,1,1,0,0,0,0,0,0,0,0.708333,0.375,0.3,1,1,1,1,1,0,0,0.458333,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.333333,0.222222,0,0,0.405901,0.157895,0,1,1,1,1,1,nao-duplicata
0,0,0.900513,0.615385,0.551724,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.666667,0.375,0.2,1,1,1,1,1,0,0,0.383333,0.125,0,0,0,0.6,0.2,0.142857,0,0,0,0,0,0,0,0.481818,0.266667,0,0,0,0.7,0.5,0.166667,0,0,0,0,0,0,0,0.585714,0.285714,0.066667,0,0,0.513889,0.25,0.111111,nao-duplicata
0,0,0.920513,0.769231,0.62069,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444,0,0,0,0,0.523148,0.444444,0.380952,0,0,0,0,0,0,0,0.430556,0.083333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.480159,0.142857,0,0,0,0,0,0,nao-duplicata
