@relation TrainingInstances_teste01_31

@attribute COSINE_culture numeric
@attribute JACCARD_culture numeric
@attribute JARO_culture numeric
@attribute LEVENSHTEIN_culture numeric
@attribute QGRAM_culture numeric
@attribute COSINE_sex numeric
@attribute JACCARD_sex numeric
@attribute JARO_sex numeric
@attribute LEVENSHTEIN_sex numeric
@attribute QGRAM_sex numeric
@attribute COSINE_age numeric
@attribute JACCARD_age numeric
@attribute JARO_age numeric
@attribute LEVENSHTEIN_age numeric
@attribute QGRAM_age numeric
@attribute COSINE_date_of_birth numeric
@attribute JACCARD_date_of_birth numeric
@attribute JARO_date_of_birth numeric
@attribute LEVENSHTEIN_date_of_birth numeric
@attribute QGRAM_date_of_birth numeric
@attribute COSINE_title numeric
@attribute JACCARD_title numeric
@attribute JARO_title numeric
@attribute LEVENSHTEIN_title numeric
@attribute QGRAM_title numeric
@attribute COSINE_given_name numeric
@attribute JACCARD_given_name numeric
@attribute JARO_given_name numeric
@attribute LEVENSHTEIN_given_name numeric
@attribute QGRAM_given_name numeric
@attribute COSINE_surname numeric
@attribute JACCARD_surname numeric
@attribute JARO_surname numeric
@attribute LEVENSHTEIN_surname numeric
@attribute QGRAM_surname numeric
@attribute COSINE_state numeric
@attribute JACCARD_state numeric
@attribute JARO_state numeric
@attribute LEVENSHTEIN_state numeric
@attribute QGRAM_state numeric
@attribute COSINE_suburb numeric
@attribute JACCARD_suburb numeric
@attribute JARO_suburb numeric
@attribute LEVENSHTEIN_suburb numeric
@attribute QGRAM_suburb numeric
@attribute COSINE_postcode numeric
@attribute JACCARD_postcode numeric
@attribute JARO_postcode numeric
@attribute LEVENSHTEIN_postcode numeric
@attribute QGRAM_postcode numeric
@attribute COSINE_street_number numeric
@attribute JACCARD_street_number numeric
@attribute JARO_street_number numeric
@attribute LEVENSHTEIN_street_number numeric
@attribute QGRAM_street_number numeric
@attribute COSINE_address_1 numeric
@attribute JACCARD_address_1 numeric
@attribute JARO_address_1 numeric
@attribute LEVENSHTEIN_address_1 numeric
@attribute QGRAM_address_1 numeric
@attribute resultado {nao-duplicata,duplicata}

@data
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.85,0.625,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.560185,0.222222,0,1,1,1,1,1,0,0,0.413889,0.133333,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.333333,0.667277,0.571429,0.451613,nao-duplicata
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.472222,0,0,0,0,0,0,0,0,0,0.483333,0,0,0,0,0.601191,0.125,0,1,1,1,1,1,0,0,0.430556,0,0,0,0,0.55,0.25,0.166667,0,0,0.666667,0.5,0.25,0,0,0.490079,0.1875,0,nao-duplicata
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.666667,0.25,0.2,1,1,1,1,1,0,0,0.395238,0.142857,0,0,0,0.455556,0.166667,0,0,0,0,0,0,0,0,0.294444,0.066667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545098,0.235294,0,nao-duplicata
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472222,0.125,0,0,0,0,0,0,0,0,0.583333,0.25,0,0,0,0.486111,0.125,0,0,0,0,0,0,0,0,0.513709,0.190476,0.055556,0,0,0.5,0.25,0,0,0,0,0.333333,0.222222,0.5,0.333333,0.63024,0.5,0.387097,nao-duplicata
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.733333,0.375,0.2,0,0,0,0,0,0,0,0.555556,0.166667,0.125,0,0,0.511905,0.125,0,0,0,0,0.333333,0,0,0,0.441558,0.071429,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0.531746,0.142857,0,nao-duplicata
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373016,0,0,0,0,0,0,0,0,0,0.444444,0.133333,0,0,0,0.7,0.5,0.333333,0,0,0.7,0.5,0.25,0,0,0.518327,0.210526,0,nao-duplicata
1,1,1,1,1,1,1,1,1,1,0,0,0.7,0.5,0.25,0,0,0.778333,0.5,0.4,0,0,0,0,0,0,0,0.447619,0,0,0,0,0.595,0.25,0.117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482305,0.214286,0.137931,nao-duplicata
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0.625,0.3,0,0,0,0,0,0,0,0.455556,0.166667,0,0,0,0.447619,0.142857,0,0,0,0,0,0,0,0,0.425926,0.111111,0,0,0,0,0,0,0,0,0.7,0.5,0.25,0,0,0.540476,0.266667,0,nao-duplicata
0,0,0.6,0.333333,0.2,0,0,0,0,0,1,1,1,1,1,0,0,0.9,0.625,0.5,1,1,1,1,1,0,0,0,0,0,0,0,0.455556,0.166667,0.133333,0,0,0,0,0,0,0,0.605385,0.307692,0.074074,0,0,0.55,0.25,0.166667,0,0,0,0,0,0,0,0.596561,0.285714,0,nao-duplicata
1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0.8,0.625,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.6925,0.25,0.235294,0,0,0,0,0,0,0,0.42381,0.142857,0,0,0,0.5,0.25,0.166667,0,0,0,0,0,0,0,0.64793,0.333333,0.051282,nao-duplicata
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.6,0.25,0.2,0,0,0,0,0,0,0,0.601191,0.25,0,1,1,1,1,1,0,0,0,0,0,0,0,0.479798,0.181818,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333,0.690028,0.533333,0.4375,nao-duplicata
0,0,0.555556,0.333333,0.2,1,1,1,1,1,0,0,0,0,0,0,0,0.766667,0.5,0.3,1,1,1,1,1,0,0,0.58,0.333333,0.222222,0,0,0.441667,0.125,0,0,0,0,0,0,0,0,0.455988,0.090909,0,0,0,0.55,0.25,0.166667,0,0,0,0,0,0,0,0.580128,0.4375,0.060606,nao-duplicata
0,0,0.555556,0.333333,0.2,0,0,0,0,0,0,0,0.666667,0.5,0.25,0,0,0.733333,0.375,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.523809,0.142857,0,0,0,0,0,0,0,0,0.638889,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578373,0.125,0,nao-duplicata
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483333,0.2,0,0,0,0.447619,0,0,0,0,0,0,0,0,0,0.746032,0.571429,0.352941,0,0,0,0,0,0,0,0.85,0.5,0.285714,0,0,0.438095,0.214286,0.0625,nao-duplicata
