ARFF TRAINING,PRECISION,RECALL,F1,VP,VN,FP,FN,IGNORED FIELDS,CLASS,SVM-TYPE,KERNEL,C,DEGREE,GAMMA
1_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,3332222592",1,"0,4998750312",1000,411422,2001,0,15,J48,,,,,
1_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4258943782",1,"0,5973715651",1000,412075,1348,0,15,SVM,C_SVC,POLYNOMIAL ,Default(0),Default(3),Default(1/n)
3_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,1556904873",1,"0,2694328439",1000,408000,5423,0,15,J48,,,,,
3_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4258943782",1,"0,5973715651",1000,412075,1348,0,15,SVM,C_SVC,POLYNOMIAL ,Default(0),Default(3),Default(1/n)
4_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4258943782",1,"0,5973715651",1000,412075,1348,0,15,SVM,C_SVC,POLYNOMIAL ,Default(0),Default(3),Default(1/n)
4_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,1815541031",1,"0,307314075",1000,408915,4508,0,15,J48,,,,,
5_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,2132196162",1,"0,3514938489",1000,409733,3690,0,15,J48,,,,,
5_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4258943782",1,"0,5973715651",1000,412075,1348,0,15,SVM,C_SVC,POLYNOMIAL ,Default(0),Default(3),Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4257130694",1,"0,597193192",1000,412074,1349,0,15,SVM,C_SVC,POLYNOMIAL ,0,1,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4262574595",1,"0,5977286312",1000,412077,1346,0,15,SVM,C_SVC,POLYNOMIAL ,0,2,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4269854825",1,"0,5984440455",1000,412081,1342,0,15,SVM,C_SVC,POLYNOMIAL ,0,3,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4294926913","0,999","0,6007215875",999,412096,1327,1,15,SVM,C_SVC,POLYNOMIAL ,0,4,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4345367551","0,999","0,6056380721",999,412123,1300,1,15,SVM,C_SVC,POLYNOMIAL ,0,5,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4448906738","0,997","0,6152422092",997,412179,1244,3,15,SVM,C_SVC,POLYNOMIAL ,0,6,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,458736745","0,995","0,6279583465",995,412249,1174,5,15,SVM,C_SVC,POLYNOMIAL ,0,7,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4773603083","0,991","0,644343303",991,412338,1085,9,15,SVM,C_SVC,POLYNOMIAL ,0,8,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,4937280482","0,984","0,6575342466",984,412414,1009,16,15,SVM,C_SVC,POLYNOMIAL ,0,9,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,5179704017","0,98","0,6777316736",980,412511,912,20,15,SVM,C_SVC,POLYNOMIAL ,0,10,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,5313531353","0,966","0,6855926189",966,412571,852,34,15,SVM,C_SVC,POLYNOMIAL ,0,11,Default(1/n)
6_dados10k-5-5-5_SIZE-11000_TD-1000_SS-0.3_TP-414423.arff,"0,5545134818","0,946","0,6991869919",946,412663,760,54,15,SVM,C_SVC,POLYNOMIAL ,0,12,Default(1/n)
