@relation TrainingInstances_nova3_31

@attribute COSINE_culture numeric
@attribute JACCARD_culture numeric
@attribute JARO_culture numeric
@attribute LEVENSHTEIN_culture numeric
@attribute QGRAM_culture numeric
@attribute COSINE_sex numeric
@attribute JACCARD_sex numeric
@attribute JARO_sex numeric
@attribute LEVENSHTEIN_sex numeric
@attribute QGRAM_sex numeric
@attribute COSINE_age numeric
@attribute JACCARD_age numeric
@attribute JARO_age numeric
@attribute LEVENSHTEIN_age numeric
@attribute QGRAM_age numeric
@attribute COSINE_date_of_birth numeric
@attribute JACCARD_date_of_birth numeric
@attribute JARO_date_of_birth numeric
@attribute LEVENSHTEIN_date_of_birth numeric
@attribute QGRAM_date_of_birth numeric
@attribute COSINE_title numeric
@attribute JACCARD_title numeric
@attribute JARO_title numeric
@attribute LEVENSHTEIN_title numeric
@attribute QGRAM_title numeric
@attribute COSINE_given_name numeric
@attribute JACCARD_given_name numeric
@attribute JARO_given_name numeric
@attribute LEVENSHTEIN_given_name numeric
@attribute QGRAM_given_name numeric
@attribute COSINE_surname numeric
@attribute JACCARD_surname numeric
@attribute JARO_surname numeric
@attribute LEVENSHTEIN_surname numeric
@attribute QGRAM_surname numeric
@attribute COSINE_state numeric
@attribute JACCARD_state numeric
@attribute JARO_state numeric
@attribute LEVENSHTEIN_state numeric
@attribute QGRAM_state numeric
@attribute COSINE_suburb numeric
@attribute JACCARD_suburb numeric
@attribute JARO_suburb numeric
@attribute LEVENSHTEIN_suburb numeric
@attribute QGRAM_suburb numeric
@attribute COSINE_postcode numeric
@attribute JACCARD_postcode numeric
@attribute JARO_postcode numeric
@attribute LEVENSHTEIN_postcode numeric
@attribute QGRAM_postcode numeric
@attribute COSINE_street_number numeric
@attribute JACCARD_street_number numeric
@attribute JARO_street_number numeric
@attribute LEVENSHTEIN_street_number numeric
@attribute QGRAM_street_number numeric
@attribute COSINE_address_1 numeric
@attribute JACCARD_address_1 numeric
@attribute JARO_address_1 numeric
@attribute LEVENSHTEIN_address_1 numeric
@attribute QGRAM_address_1 numeric
@attribute COSINE_address_2 numeric
@attribute JACCARD_address_2 numeric
@attribute JARO_address_2 numeric
@attribute LEVENSHTEIN_address_2 numeric
@attribute QGRAM_address_2 numeric
@attribute COSINE_phone_number numeric
@attribute JACCARD_phone_number numeric
@attribute JARO_phone_number numeric
@attribute LEVENSHTEIN_phone_number numeric
@attribute QGRAM_phone_number numeric
@attribute resultado {nao-duplicata,duplicata}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733333,0.5,0.3,0,0,0,0,0,0,0,0.455556,0,0,0,0,0.455556,0.166667,0,0,0,0,0,0,0,0,0.564815,0.111111,0.095238,0,0,0,0,0,0,0,0,0,0,0,0,0.385285,0.135135,0,0,0,0,0,0,0,0,0.39899,0.083333,0,nao-duplicata
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.666667,0.375,0.2,1,1,1,1,1,0,0,0,0,0,0,0,0,0.125,0.125,1,1,1,1,1,0,0,0.521368,0.230769,0,0,0,0.55,0.25,0.166667,0,0,0.666667,0.5,0.25,0,0,0.575926,0.166667,0,0,0,0,0,0,0,0,0.565657,0.25,0,nao-duplicata
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.8,0.5,0.2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.490404,0.166667,0,0,0,0.55,0.25,0.166667,0,0,0,0,0,0.5,0.333333,0.678241,0.5625,0.4375,0,0,0,0,0,0,0,0.561111,0.333333,0,nao-duplicata
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441667,0.125,0,0,0,0.455556,0,0,1,1,1,1,1,0,0,0.404762,0.071429,0,0,0,0,0,0,0,0,0.85,0.5,0.285714,0.5,0.333333,0.598693,0.470588,0.388889,0,0,0,0,0,0,0,0.490404,0.083333,0,nao-duplicata
1,1,1,1,1,0,0,0,0,0,0,0,0.7,0.5,0.25,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.481481,0,0,0,0,0,0,0,0,0,0.5,0.125,0.1,0,0,0.5,0,0,0,0,0.666667,0.5,0.25,0,0,0.444444,0.1875,0,1,1,1,1,1,0,0,0.570707,0.25,0.074074,nao-duplicata
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.876923,0.692308,0.6,1,1,1,1,1,0,0,0.457071,0.083333,0,duplicata
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.866667,0.75,0.5,1,1,1,1,1,0,0,0,0,0,0,0,0.751515,0.363636,0.272727,0,0,0,0,0,0,0,0.509259,0.166667,0,0,0,0.666667,0.25,0,0,0,0.666667,0.5,0.25,0.5,0.333333,0.783945,0.5,0.424242,1,1,1,1,1,0,0,0.516667,0.3,0,nao-duplicata
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.953333,0.8,0.636364,1,1,1,1,1,0,0,0.966667,0.833333,0.666667,1,1,1,1,1,0,0,0.933333,0.75,0.545455,0,0,0.983333,0.916667,0.814815,1,1,1,1,1,1,1,1,1,1,0,0,0.946667,0.866667,0.705882,1,1,1,1,1,1,1,1,1,1,duplicata
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.866667,0.666667,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.85,0.5,0.285714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,duplicata
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.907143,0.8125,0.722222,1,1,1,1,1,1,1,1,1,1,duplicata
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.822222,0.666667,0.4,0,0,0.857778,0.5,0.266667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,duplicata
0,0,0.555556,0.333333,0,1,1,1,1,1,1,1,1,1,1,0,0,0.866667,0.625,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417989,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569795,0.235294,0.060606,1,1,1,1,1,0,0,0.598485,0.25,0,nao-duplicata
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.82963,0.555556,0.4,1,1,1,1,1,0,0,0,0,0,0.5,0.333333,0.988235,0.941176,0.864865,1,1,1,1,1,1,1,1,1,1,duplicata
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.778333,0.375,0.3,1,1,1,1,1,0,0,0.555556,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.436508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468207,0.1,0,1,1,1,1,1,0,0,0.411111,0.25,0,nao-duplicata
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0.375,0.2,0,0,0,0,0,0,0,0.633333,0.4,0.307692,0,0,0.555556,0.333333,0,0,0,0,0,0,0,0,0.422619,0.125,0,0,0,0.7,0.5,0.333333,0,0,0,0,0,0.5,0.333333,0.724567,0.5,0.482759,0,0,0.418651,0.071429,0,0,0,0.490404,0.083333,0,nao-duplicata
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.746032,0.571429,0.235294,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,duplicata
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0.25,0.2,0,0,0,0,0,1,1,1,1,1,0,0,0.746032,0.428571,0,0,0,0,0,0,0,0,0.579365,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550595,0.1875,0,0,0,0.400433,0.181818,0,0,0,0.524242,0.090909,0,nao-duplicata
0,0,0.555556,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,1,1,1,1,1,0,0,0.458333,0.125,0,0,0,0,0,0,0,0,0.38456,0.142857,0,0,0,0,0,0,0,0,0.7,0.5,0.25,0,0,0,0,0,1,1,1,1,1,0,0,0.572222,0.166667,0,nao-duplicata
1,1,1,1,1,1,1,1,1,1,0,0,0.7,0.5,0.25,1,1,1,1,1,1,1,1,1,1,0,0,0.833333,0.375,0.266667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.925,0.8125,0.722222,1,1,1,1,1,0.5,0.333333,0.963636,0.909091,0.769231,duplicata
0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0.5,0.25,0,0,0.583333,0.5,0.2,0,0,0,0,0,0,0,0.633333,0.4,0.307692,0,0,0.65,0.166667,0.142857,0,0,0,0,0,0,0,0.521368,0.076923,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.576263,0.181818,0,nao-duplicata
