@relation TrainingInstances_dados10_31

@attribute COSINE_culture numeric
@attribute JACCARD_culture numeric
@attribute JARO_culture numeric
@attribute LEVENSHTEIN_culture numeric
@attribute QGRAM_culture numeric
@attribute COSINE_sex numeric
@attribute JACCARD_sex numeric
@attribute JARO_sex numeric
@attribute LEVENSHTEIN_sex numeric
@attribute QGRAM_sex numeric
@attribute COSINE_age numeric
@attribute JACCARD_age numeric
@attribute JARO_age numeric
@attribute LEVENSHTEIN_age numeric
@attribute QGRAM_age numeric
@attribute COSINE_date_of_birth numeric
@attribute JACCARD_date_of_birth numeric
@attribute JARO_date_of_birth numeric
@attribute LEVENSHTEIN_date_of_birth numeric
@attribute QGRAM_date_of_birth numeric
@attribute COSINE_title numeric
@attribute JACCARD_title numeric
@attribute JARO_title numeric
@attribute LEVENSHTEIN_title numeric
@attribute QGRAM_title numeric
@attribute COSINE_given_name numeric
@attribute JACCARD_given_name numeric
@attribute JARO_given_name numeric
@attribute LEVENSHTEIN_given_name numeric
@attribute QGRAM_given_name numeric
@attribute COSINE_surname numeric
@attribute JACCARD_surname numeric
@attribute JARO_surname numeric
@attribute LEVENSHTEIN_surname numeric
@attribute QGRAM_surname numeric
@attribute COSINE_state numeric
@attribute JACCARD_state numeric
@attribute JARO_state numeric
@attribute LEVENSHTEIN_state numeric
@attribute QGRAM_state numeric
@attribute COSINE_suburb numeric
@attribute JACCARD_suburb numeric
@attribute JARO_suburb numeric
@attribute LEVENSHTEIN_suburb numeric
@attribute QGRAM_suburb numeric
@attribute COSINE_postcode numeric
@attribute JACCARD_postcode numeric
@attribute JARO_postcode numeric
@attribute LEVENSHTEIN_postcode numeric
@attribute QGRAM_postcode numeric
@attribute COSINE_street_number numeric
@attribute JACCARD_street_number numeric
@attribute JARO_street_number numeric
@attribute LEVENSHTEIN_street_number numeric
@attribute QGRAM_street_number numeric
@attribute COSINE_address_1 numeric
@attribute JACCARD_address_1 numeric
@attribute JARO_address_1 numeric
@attribute LEVENSHTEIN_address_1 numeric
@attribute QGRAM_address_1 numeric
@attribute COSINE_address_2 numeric
@attribute JACCARD_address_2 numeric
@attribute JARO_address_2 numeric
@attribute LEVENSHTEIN_address_2 numeric
@attribute QGRAM_address_2 numeric
@attribute COSINE_phone_number numeric
@attribute JACCARD_phone_number numeric
@attribute JARO_phone_number numeric
@attribute LEVENSHTEIN_phone_number numeric
@attribute QGRAM_phone_number numeric
@attribute COSINE_soc_sec_id numeric
@attribute JACCARD_soc_sec_id numeric
@attribute JARO_soc_sec_id numeric
@attribute LEVENSHTEIN_soc_sec_id numeric
@attribute QGRAM_soc_sec_id numeric
@attribute COSINE_blocking_number numeric
@attribute JACCARD_blocking_number numeric
@attribute JARO_blocking_number numeric
@attribute LEVENSHTEIN_blocking_number numeric
@attribute QGRAM_blocking_number numeric
@attribute COSINE_family_role numeric
@attribute JACCARD_family_role numeric
@attribute JARO_family_role numeric
@attribute LEVENSHTEIN_family_role numeric
@attribute QGRAM_family_role numeric
@attribute resultado {1,2}

@data
0,0,0,0,0,1,1,1,1,1,0,0,0.7,0.5,0.25,0,0,0.766667,0.5,0.3,1,1,1,1,1,0,0,0.533333,0.222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484127,0.166667,0,0,0,0.5,0.25,0.166667,0,0,0.85,0.5,0.285714,0,0,0.546703,0.071429,0,1,1,1,1,1,0.5,0.333333,0.653333,0.3,0.166667,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,1,1,1,1,1,0,0,0.7,0.5,0.25,0,0,0.746667,0.375,0.2,0,0,0,0,0,0,0,0.583333,0.25,0,0,0,0.547619,0.142857,0,0,0,0,0,0,0,0,0.447619,0.142857,0.125,0,0,0,0,0,0,0,0,0,0,0.5,0.333333,0.635684,0.615385,0.482759,0,0,0,0,0,0,0,0.620851,0.25,0,0,0,0.357143,0.285714,0.222222,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.733333,0.375,0.2,0,0,0,0,0,0,0,0.655556,0.166667,0.133333,0,0,0.45,0.1,0,0,0,0,0,0,0,0,0.472222,0,0,0,0,0.5,0,0,0,0,0,0,0,0.408248,0.25,0.683333,0.6,0.451613,1,1,1,1,1,0,0,0.504545,0.090909,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0.6,0.333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.616667,0.5,0.4,0,0,0,0,0,0,0,0.676191,0.428571,0.25,0,0,0.642857,0.428571,0.235294,1,1,1,1,1,0,0,0.433333,0.1,0,0,0,0,0,0,0,0,0,0.5,0.285714,0.5,0.333333,0.596947,0.466667,0.4375,0,0,0,0,0,0.5,0.333333,0.742222,0.3,0.166667,0,0,0.507937,0.285714,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.422619,0.125,0,0,0,0,0,0,1,1,1,1,1,0,0,0.425926,0.111111,0,0,0,0,0,0,0,0,0.85,0.5,0.285714,0,0,0,0,0,0,0,0.569444,0.222222,0,0,0,0.490404,0.25,0.074074,0,0,0.523809,0.142857,0,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,0,0.666667,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577778,0.333333,0,0,0,0,0,0,0,0,0.64793,0.176471,0.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.452778,0.25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472222,0.125,0,1,1,1,1,1,1,1,1,1,1,0,0,0.474074,0.1,0,1,1,1,1,1,0,0,0.324242,0.066667,0,0,0,0.7,0.5,0.166667,0,0,0,0,0,0.408248,0.25,0.764103,0.466667,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0.507937,0.142857,0,0,0,0,0,0,1,1,1,1,1,1
0,0,0.555556,0.333333,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.333333,0.133333,0,0,0,0,0,0,0,0.495238,0.2,0,0,0,0.85,0.5,0.333333,0,0,0,0,0,0,0,0.544444,0.133333,0,0,0,0.503268,0.147059,0,0,0,0.665873,0.25,0.153846,0,0,0.428571,0,0,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.472222,0.125,0,0,0,0,0,0,0,0,0.455556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564199,0.210526,0.055556,0,0,0,0,0,0,0,0.551515,0.272727,0,0,0,0.523809,0,0,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.125,0,0,0,0,0,0,0,0,0.666667,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444,0.0625,0,0,0,0.666667,0.25,0,0,0,0,0,0,0,0,0.51658,0.210526,0,0,0,0,0,0,0,0,0.411111,0.166667,0,0,0,0.523809,0.142857,0,0,0,0,0,0,1,1,1,1,1,1
